CustomerID,TotalOrders,TotalSpent,TotalItems,FirstPurchase,LastPurchase,AvgOrderValue,CustomerLifetime,Segment
12346,1,77183.6,74215,2011-01-18 10:01:00,2011-01-18 10:01:00,77183.6,0,High Value
12347,7,4310.0,2458,2010-12-07 14:57:00,2011-12-07 15:52:00,615.7142857142857,365,Medium Value
12348,4,1797.24,2341,2010-12-16 19:09:00,2011-09-25 13:13:00,449.31,282,Medium Value
12349,1,1757.55,631,2011-11-21 09:51:00,2011-11-21 09:51:00,1757.55,0,Medium Value
12350,1,334.4,197,2011-02-02 16:01:00,2011-02-02 16:01:00,334.4,0,Low Value
12352,8,2506.04,536,2011-02-16 12:33:00,2011-11-03 14:37:00,313.255,260,Medium Value
12353,1,89.0,20,2011-05-19 17:47:00,2011-05-19 17:47:00,89.0,0,Low Value
12354,1,1079.4,530,2011-04-21 13:11:00,2011-04-21 13:11:00,1079.4,0,Medium Value
12355,1,459.4,240,2011-05-09 13:49:00,2011-05-09 13:49:00,459.4,0,Low Value
12356,3,2811.43,1591,2011-01-18 09:50:00,2011-11-17 08:40:00,937.1433333333333,302,Medium Value
12357,1,6207.67,2708,2011-11-06 16:07:00,2011-11-06 16:07:00,6207.67,0,High Value
12358,2,1168.06,248,2011-07-12 10:04:00,2011-12-08 10:26:00,584.03,149,Medium Value
12359,4,6310.03,1609,2011-01-12 12:43:00,2011-10-13 12:47:00,1577.5075,274,High Value
12360,3,2662.06,1165,2011-05-23 09:43:00,2011-10-18 15:22:00,887.3533333333334,148,Medium Value
12361,1,189.9,91,2011-02-25 13:51:00,2011-02-25 13:51:00,189.9,0,Low Value
12362,10,5226.23,2229,2011-02-17 10:30:00,2011-12-06 15:40:00,522.6229999999999,292,High Value
12363,2,552.0,408,2011-04-11 13:29:00,2011-08-22 10:18:00,276.0,132,Low Value
12364,4,1313.1,1506,2011-08-19 15:24:00,2011-12-02 10:22:00,328.275,104,Medium Value
12365,2,641.38,174,2011-02-21 13:51:00,2011-02-21 14:04:00,320.69,0,Low Value
12367,1,168.9,173,2011-12-05 16:48:00,2011-12-05 16:48:00,168.9,0,Low Value
12370,4,3541.94,2352,2010-12-14 12:58:00,2011-10-19 14:51:00,885.485,309,Medium Value
12371,2,1887.96,591,2011-10-11 10:43:00,2011-10-26 10:16:00,943.98,14,Medium Value
12372,3,1298.04,794,2011-02-16 12:46:00,2011-09-29 12:12:00,432.68,224,Medium Value
12373,1,364.6,197,2011-02-01 13:10:00,2011-02-01 13:10:00,364.6,0,Low Value
12374,1,742.9300000000001,342,2011-11-14 15:37:00,2011-11-14 15:37:00,742.9300000000001,0,Low Value
12375,2,457.5,178,2011-09-02 14:23:00,2011-11-29 10:36:00,228.75,87,Low Value
12377,2,1628.12,944,2010-12-20 09:37:00,2011-01-28 15:45:00,814.06,39,Medium Value
12378,1,4008.62,2529,2011-08-02 10:34:00,2011-08-02 10:34:00,4008.62,0,Medium Value
12379,2,852.24,407,2011-06-22 16:32:00,2011-09-19 10:09:00,426.12,88,Low Value
12380,4,2724.81,1127,2011-06-07 09:49:00,2011-11-18 11:27:00,681.2025,164,Medium Value
12381,5,1845.31,808,2011-08-12 09:57:00,2011-12-05 12:44:00,369.062,115,Medium Value
12383,5,1850.56,1532,2010-12-22 14:28:00,2011-06-08 08:02:00,370.11199999999997,167,Medium Value
12384,2,585.27,126,2011-08-10 11:23:00,2011-11-11 08:39:00,292.635,92,Low Value
12386,2,401.9,354,2010-12-08 09:53:00,2011-01-06 12:37:00,200.95,29,Low Value
12388,6,2780.66,1462,2011-01-17 11:12:00,2011-11-24 12:30:00,463.4433333333333,311,Medium Value
12390,1,549.84,353,2011-09-21 09:33:00,2011-09-21 09:33:00,549.84,0,Low Value
12391,1,439.66,293,2011-11-18 12:07:00,2011-11-18 12:07:00,439.66,0,Low Value
12393,4,1582.6000000000001,816,2011-01-11 09:47:00,2011-09-28 15:41:00,395.65000000000003,260,Medium Value
12394,2,1272.48,819,2011-05-06 14:01:00,2011-10-07 08:08:00,636.24,153,Medium Value
12395,12,3018.63,2118,2010-12-03 16:35:00,2011-11-20 15:21:00,251.5525,351,Medium Value
12397,2,2409.9,1263,2011-07-27 14:21:00,2011-11-04 09:52:00,1204.95,99,Medium Value
12398,1,1635.6599999999999,1394,2011-10-25 10:27:00,2011-10-25 10:27:00,1635.6599999999999,0,Medium Value
12399,4,1108.65,1178,2011-03-23 09:42:00,2011-08-12 13:15:00,277.1625,142,Medium Value
12401,1,84.3,11,2011-02-09 13:50:00,2011-02-09 13:50:00,84.3,0,Low Value
12402,1,225.6,94,2011-01-20 13:49:00,2011-01-20 13:49:00,225.6,0,Low Value
12403,1,427.7,96,2011-10-21 10:51:00,2011-10-21 10:51:00,427.7,0,Low Value
12405,1,1710.39,857,2011-07-14 08:52:00,2011-07-14 08:52:00,1710.39,0,Medium Value
12406,2,3415.3,1818,2011-06-09 10:23:00,2011-11-17 19:22:00,1707.65,161,Medium Value
12407,5,1708.1200000000001,1416,2011-03-20 13:21:00,2011-10-21 10:11:00,341.624,214,Medium Value
12408,5,2888.55,1409,2011-03-24 14:46:00,2011-11-07 12:27:00,577.71,227,Medium Value
12409,3,11072.67,5551,2011-06-10 12:19:00,2011-09-22 10:38:00,3690.89,103,High Value
12410,2,693.3299999999999,211,2011-02-04 10:38:00,2011-02-04 10:39:00,346.66499999999996,0,Low Value
12412,3,1226.88,829,2011-06-23 13:51:00,2011-09-26 10:16:00,408.96000000000004,94,Medium Value
12413,3,758.1,286,2011-01-06 16:12:00,2011-10-04 09:00:00,252.70000000000002,270,Low Value
12414,3,562.41,300,2011-02-02 14:51:00,2011-05-06 14:51:00,187.47,93,Low Value
12415,21,124914.53,77374,2011-01-06 11:12:00,2011-11-15 14:22:00,5948.310952380953,313,High Value
12417,9,3649.1,1552,2010-12-17 11:51:00,2011-12-06 14:52:00,405.4555555555555,354,Medium Value
12418,1,668.58,407,2011-08-19 11:08:00,2011-08-19 11:08:00,668.58,0,Low Value
12420,1,600.39,345,2011-10-07 08:55:00,2011-10-07 08:55:00,600.39,0,Low Value
12421,4,807.04,484,2011-01-24 15:09:00,2011-11-24 09:07:00,201.76,303,Low Value
12422,3,803.5600000000001,370,2011-01-19 09:13:00,2011-09-05 09:48:00,267.85333333333335,229,Low Value
12423,8,1859.31,1339,2010-12-21 10:54:00,2011-12-09 10:10:00,232.41375,352,Medium Value
12424,2,1760.96,740,2011-06-30 12:06:00,2011-06-30 12:06:00,880.48,0,Medium Value
12425,1,777.2,496,2011-09-22 17:31:00,2011-09-22 17:31:00,777.2,0,Low Value
12426,1,582.73,258,2011-05-29 12:26:00,2011-05-29 12:26:00,582.73,0,Low Value
12427,3,825.8,533,2010-12-03 10:44:00,2011-11-18 08:56:00,275.26666666666665,349,Low Value
12428,9,7956.46,3536,2011-03-01 09:33:00,2011-11-14 08:22:00,884.0511111111111,257,High Value
12429,4,3750.4,1557,2010-12-09 12:05:00,2011-11-30 17:22:00,937.6,356,Medium Value
12430,1,256.4,117,2011-10-27 15:09:00,2011-10-27 15:09:00,256.4,0,Low Value
12431,15,6419.95,2896,2010-12-01 10:03:00,2011-11-04 11:55:00,427.99666666666667,338,High Value
12432,5,5059.32,1801,2011-06-20 13:27:00,2011-10-28 11:43:00,1011.8639999999999,129,High Value
12433,7,13375.87,11071,2010-12-01 13:24:00,2011-12-09 10:02:00,1910.8385714285716,372,High Value
12434,2,806.14,394,2011-03-24 13:05:00,2011-09-16 12:38:00,403.07,175,Low Value
12435,2,7829.89,2055,2011-03-17 07:40:00,2011-09-21 09:06:00,3914.945,188,High Value
12436,1,509.01,211,2011-09-01 12:09:00,2011-09-01 12:09:00,509.01,0,Low Value
12437,18,4951.41,2922,2011-01-12 14:13:00,2011-12-08 11:35:00,275.0783333333333,329,Medium Value
12438,2,2906.85,1180,2011-07-22 13:29:00,2011-11-25 13:28:00,1453.425,125,Medium Value
12441,1,173.55,121,2010-12-08 10:45:00,2010-12-08 10:45:00,173.55,0,Low Value
12442,1,172.06,182,2011-12-06 14:22:00,2011-12-06 14:22:00,172.06,0,Low Value
12444,5,5005.46,1153,2011-06-21 14:00:00,2011-11-18 13:23:00,1001.092,149,High Value
12445,1,133.4,62,2011-11-17 18:43:00,2011-11-17 18:43:00,133.4,0,Low Value
12446,1,1002.3100000000001,351,2011-10-13 12:50:00,2011-10-13 12:50:00,1002.3100000000001,0,Medium Value
12447,1,476.49,190,2011-04-10 13:25:00,2011-04-10 13:25:00,476.49,0,Low Value
12448,1,449.45,243,2011-10-26 13:46:00,2011-10-26 13:46:00,449.45,0,Low Value
12449,4,4067.29,1553,2011-06-05 15:37:00,2011-11-17 13:46:00,1016.8225,164,Medium Value
12450,2,197.88,128,2011-06-19 14:36:00,2011-07-06 14:41:00,98.94,17,Low Value
12451,5,9035.52,6575,2011-01-19 09:05:00,2011-11-29 08:40:00,1807.104,313,High Value
12452,2,430.57,185,2011-11-23 08:05:00,2011-11-23 10:28:00,215.285,0,Low Value
12453,1,707.09,473,2011-07-28 14:08:00,2011-07-28 14:08:00,707.09,0,Low Value
12454,1,3528.34,1006,2011-10-14 17:13:00,2011-10-14 17:13:00,3528.34,0,Medium Value
12455,6,2466.86,2089,2011-02-16 09:56:00,2011-09-27 15:31:00,411.1433333333334,223,Medium Value
12456,3,3181.04,1633,2011-03-30 09:12:00,2011-10-26 14:41:00,1060.3466666666666,210,Medium Value
12457,7,2363.23,843,2011-04-14 18:57:00,2011-10-04 13:13:00,337.6042857142857,172,Medium Value
12458,2,947.4,506,2011-02-28 10:55:00,2011-09-29 15:25:00,473.7,213,Low Value
12461,2,826.88,287,2011-07-08 10:23:00,2011-09-06 16:57:00,413.44,60,Low Value
12462,2,1189.59,536,2011-02-09 14:44:00,2011-11-21 09:11:00,594.795,284,Medium Value
12463,4,1344.78,776,2011-04-12 12:47:00,2011-10-17 13:44:00,336.195,188,Medium Value
12464,8,1212.05,112,2011-02-03 13:30:00,2011-11-29 13:33:00,151.50625,299,Medium Value
12465,2,742.1899999999999,479,2011-06-23 13:37:00,2011-11-22 16:34:00,371.09499999999997,152,Low Value
12468,2,729.5400000000001,366,2011-01-27 13:29:00,2011-06-05 11:36:00,364.77000000000004,128,Low Value
12471,30,19788.65,8200,2010-12-10 09:35:00,2011-12-07 15:43:00,659.6216666666667,362,High Value
12472,7,6572.11,4148,2010-12-05 14:19:00,2011-11-07 14:01:00,938.8728571428571,336,High Value
12473,5,3928.0499999999997,2414,2011-06-01 10:15:00,2011-11-10 13:46:00,785.6099999999999,162,Medium Value
12474,18,7324.09,4833,2011-01-14 10:06:00,2011-11-22 14:39:00,406.8938888888889,312,High Value
12475,1,723.38,535,2011-10-17 10:10:00,2011-10-17 10:10:00,723.38,0,Low Value
12476,11,6816.42,2408,2010-12-13 14:39:00,2011-11-24 12:40:00,619.6745454545454,345,High Value
12477,6,13219.74,3653,2011-02-11 12:45:00,2011-11-17 09:51:00,2203.29,278,High Value
12478,1,680.99,236,2011-12-06 09:56:00,2011-12-06 09:56:00,680.99,0,Low Value
12479,1,527.2,385,2011-11-28 13:26:00,2011-11-28 13:26:00,527.2,0,Low Value
12480,4,3281.63,1707,2011-01-07 15:27:00,2011-11-11 14:52:00,820.4075,307,Medium Value
12481,10,5579.82,3294,2010-12-09 10:13:00,2011-11-17 08:29:00,557.982,342,High Value
12483,8,2484.98,1110,2011-01-04 14:20:00,2011-11-22 17:02:00,310.6225,322,Medium Value
12484,6,4527.32,2187,2011-01-07 14:04:00,2011-11-07 11:37:00,754.5533333333333,303,Medium Value
12488,3,1298.66,529,2011-09-25 10:34:00,2011-11-30 08:50:00,432.8866666666667,65,Medium Value
12489,1,334.93,105,2011-01-07 13:13:00,2011-01-07 13:13:00,334.93,0,Low Value
12490,10,5417.93,3064,2011-01-14 09:13:00,2011-12-04 16:07:00,541.793,324,High Value
12491,1,460.40000000000003,260,2011-11-01 12:18:00,2011-11-01 12:18:00,460.40000000000003,0,Low Value
12492,2,263.21000000000004,192,2011-08-26 14:51:00,2011-10-07 15:15:00,131.60500000000002,42,Low Value
12493,2,433.74,207,2011-05-26 14:53:00,2011-06-27 10:17:00,216.87,31,Low Value
12494,7,1246.1000000000001,707,2010-12-09 11:31:00,2011-11-24 09:34:00,178.01428571428573,349,Medium Value
12497,1,1043.1,1236,2011-09-19 12:29:00,2011-09-19 12:29:00,1043.1,0,Medium Value
12498,3,403.70000000000005,159,2011-10-13 09:30:00,2011-11-18 12:53:00,134.5666666666667,36,Low Value
12500,11,4257.82,2678,2011-01-10 09:48:00,2011-11-16 16:20:00,387.07454545454544,310,Medium Value
12501,1,2169.39,1783,2011-01-07 12:28:00,2011-01-07 12:28:00,2169.39,0,Medium Value
12502,5,3723.87,820,2011-02-03 10:41:00,2011-09-05 11:52:00,744.774,214,Medium Value
12504,2,482.04999999999995,90,2011-11-09 14:56:00,2011-11-21 16:02:00,241.02499999999998,12,Low Value
12506,1,73.5,23,2011-04-21 08:54:00,2011-04-21 08:54:00,73.5,0,Low Value
12507,3,1304.81,894,2011-02-14 09:24:00,2011-07-28 17:09:00,434.93666666666667,164,Medium Value
12508,2,397.88,271,2011-11-10 16:27:00,2011-11-13 15:37:00,198.94,2,Low Value
12509,1,176.5,55,2011-02-28 14:45:00,2011-02-28 14:45:00,176.5,0,Low Value
12510,2,982.5699999999999,353,2011-01-18 14:04:00,2011-07-20 10:15:00,491.28499999999997,182,Low Value
12512,2,132.18,96,2011-10-04 14:53:00,2011-10-04 14:55:00,66.09,0,Low Value
12513,1,612.29,462,2011-08-19 10:51:00,2011-08-19 10:51:00,612.29,0,Low Value
12514,1,1017.68,440,2011-03-17 16:38:00,2011-03-17 16:38:00,1017.68,0,Medium Value
12515,1,383.7,131,2010-12-21 15:43:00,2010-12-21 15:43:00,383.7,0,Low Value
12516,2,1312.06,875,2011-06-12 11:37:00,2011-09-23 09:13:00,656.03,102,Medium Value
12517,5,2481.6,1361,2011-06-02 15:13:00,2011-11-11 14:04:00,496.32,161,Medium Value
12518,5,2056.89,1318,2011-08-21 13:18:00,2011-12-09 10:13:00,411.378,109,Medium Value
12519,1,330.84,175,2011-10-07 09:26:00,2011-10-07 09:26:00,330.84,0,Low Value
12520,5,2634.26,1439,2011-03-11 11:35:00,2011-09-21 15:23:00,526.8520000000001,194,Medium Value
12521,1,599.68,309,2011-07-20 10:51:00,2011-07-20 10:51:00,599.68,0,Low Value
12522,2,192.72,194,2011-10-19 14:41:00,2011-10-31 15:30:00,96.36,12,Low Value
12523,11,1789.77,865,2011-01-12 09:43:00,2011-11-20 12:55:00,162.70636363636365,312,Medium Value
12524,8,4485.72,3699,2011-01-10 10:35:00,2011-11-30 15:31:00,560.715,324,Medium Value
12526,3,1316.66,632,2011-09-06 14:19:00,2011-12-09 12:09:00,438.8866666666667,93,Medium Value
12527,3,348.71000000000004,234,2011-01-18 12:05:00,2011-09-19 11:55:00,116.23666666666668,243,Low Value
12528,6,1933.48,756,2011-01-31 09:05:00,2011-11-30 14:40:00,322.24666666666667,303,Medium Value
12530,4,1662.28,913,2011-01-07 10:04:00,2011-10-11 12:34:00,415.57,277,Medium Value
12531,1,125.22,45,2011-11-25 11:12:00,2011-11-25 11:12:00,125.22,0,Low Value
12532,1,349.83000000000004,153,2011-11-09 13:47:00,2011-11-09 13:47:00,349.83000000000004,0,Low Value
12534,1,1089.18,651,2011-08-01 10:26:00,2011-08-01 10:26:00,1089.18,0,Medium Value
12535,2,716.35,219,2011-06-06 12:47:00,2011-09-09 08:48:00,358.175,94,Low Value
12536,3,12601.830000000002,2803,2011-10-11 14:52:00,2011-10-27 14:20:00,4200.610000000001,15,High Value
12538,1,363.95,191,2011-11-10 17:16:00,2011-11-10 17:16:00,363.95,0,Low Value
