YearMonth,TotalOrders,UniqueCustomers,TotalRevenue,AvgOrderValue,TotalQuantity,RevenueGrowth,OrdersGrowth
2010-12,1400,885,570422.73,22.221376314764317,311048,,
2011-01,987,741,568101.31,27.067910710882412,348473,-0.40696484868334437,-29.500000000000004
2011-02,997,758,446084.92,22.637010047701207,265027,-21.477927942113006,1.0131712259371817
2011-03,1321,974,594081.76,22.109481205805732,347582,33.17683099442144,32.4974924774323
2011-04,1149,856,468374.33,20.879740103423682,291365,-21.15995448168616,-13.02043906131718
2011-05,1555,1056,677355.15,24.128349303601325,372864,44.61833337450412,35.335073977371636
2011-06,1393,991,660046.05,24.51333469509025,363014,-2.5553950538354964,-10.418006430868164
2011-07,1331,949,598962.9,22.535193197637234,367359,-9.25437702414854,-4.4508255563532
2011-08,1280,935,644051.04,24.040725643896977,397373,7.5277016322713886,-3.831705484598047
2011-09,1755,1266,950690.2,23.966778430433358,543650,47.61100300373708,37.109375
2011-10,1929,1364,1035642.45,21.22522595454266,591543,8.935849975102306,9.914529914529924
2011-11,2657,1664,1156205.61,18.303660239361704,665923,11.641388396159336,37.73976153447383
2011-12,778,615,517190.44,30.37650886878891,286777,-55.26829868953844,-70.71885585246518
