StockCode,Description,TotalQuantitySold,TotalRevenue,TotalOrders,UniqueCustomers,AvgPricePerUnit,AvgQuantityPerOrder
23843,"PAPER CRAFT , LITTLE BIRDIE",80995,168469.6,1,1,2.08,80995.0
22423,REGENCY CAKESTAND 3 TIER,12374,142264.75,1703,881,11.497070470341038,7.266001174398121
85123A,WHITE HANGING HEART T-LIGHT HOLDER,36706,100392.1,1971,856,2.7350324197678857,18.623033992897007
85099B,JUMBO BAG RED RETROSPOT,46078,85040.54000000001,1600,635,1.845577933070012,28.79875
23166,MEDIUM CERAMIC TOP STORAGE JAR,77916,81416.73000000001,195,138,1.0449295395040814,399.5692307692308
POST,POSTAGE,3120,77803.96,1099,331,24.93716666666667,2.8389444949954505
47566,PARTY BUNTING,15279,68785.23000000001,1379,708,4.501945807971727,11.079767947788252
84879,ASSORTED COLOUR BIRD ORNAMENT,35263,56413.03,1375,678,1.5997796557298019,25.645818181818182
M,MANUAL,6933,53419.93,253,197,7.705168036924852,27.40316205533597
23084,RABBIT NIGHT LIGHT,27153,51251.24,801,450,1.887498250653703,33.89887640449438
79321,CHILLI LIGHTS,9646,46265.11,519,205,4.796300020733983,18.585741811175335
22086,PAPER CHAIN KIT 50'S CHRISTMAS,15591,42584.130000000005,980,613,2.7313276890513762,15.909183673469387
22502,PICNIC BASKET WICKER 60 PIECES,61,39619.5,2,1,649.5,30.5
21137,BLACK RECORD COVER FRAME,11401,39045.8,313,140,3.4247697570388564,36.424920127795524
22386,JUMBO BAG PINK POLKADOT,20148,37254.36,871,372,1.8490351399642644,23.13203214695752
23284,DOORMAT KEEP CALM AND COME IN,5338,35880.85,648,378,6.721777819408017,8.237654320987655
23298,SPOTTY BUNTING,7633,35509.55,1003,571,4.652109262413206,7.610169491525424
82484,WOOD BLACK BOARD ANT WHITE FINISH,5913,34414.71,604,285,5.820177574835109,9.789735099337749
22720,SET OF 3 CAKE TINS PANTRY DESIGN,7010,33298.3,1146,640,4.750114122681883,6.116928446771379
22960,JAM MAKING SET WITH JARS,8140,32616.22,878,573,4.006906633906634,9.27107061503417
85099F,JUMBO BAG STRAWBERRY,16771,30569.32,654,315,1.8227487925585832,25.643730886850154
22178,VICTORIAN GLASS HANGING T-LIGHT,22404,28735.36,815,403,1.2825995357971791,27.48957055214724
22470,HEART OF WICKER LARGE,9577,28479.65,801,485,2.9737548292784797,11.956304619225968
22469,HEART OF WICKER SMALL,16768,28217.089999999997,961,573,1.68279401240458,17.448491155046828
20725,LUNCH BAG RED RETROSPOT,17576,27868.8,1288,532,1.5856167501137914,13.645962732919255
23245,SET OF 3 REGENCY CAKE TINS,5844,26566.280000000002,718,472,4.545906913073238,8.139275766016713
23199,JUMBO BAG APPLES,13875,26426.3,718,344,1.904598198198198,19.324512534818943
22727,ALARM CLOCK BAKELIKE RED,7206,25868.95,877,388,3.589918123785734,8.216647662485746
22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,9423,25639.77,697,470,2.7209773957338426,13.519368723098996
20685,DOORMAT RED RETROSPOT,3897,25364.85,576,329,6.508814472671285,6.765625
21175,GIN + TONIC DIET METAL SIGN,11501,24944.88,655,330,2.1689313972698026,17.558778625954197
22699,ROSES REGENCY TEACUP AND SAUCER,9119,24827.25,783,423,2.7225847132361003,11.646232439335888
22629,SPACEBOY LUNCH BOX,13908,24673.14,704,322,1.7740250215703193,19.755681818181817
23355,HOT WATER BOTTLE KEEP CALM,5313,24302.550000000003,719,474,4.574167137210616,7.389429763560501
23201,JUMBO BAG ALPHABET,12533,24160.44,752,396,1.9277459506901777,16.66622340425532
22457,NATURAL SLATE HEART CHALKBOARD,8427,24089.170000000002,967,587,2.858570072386377,8.714581178903826
21181,PLEASE ONE PERSON METAL SIGN,11932,23865.820000000003,694,361,2.0001525310090518,17.19308357348703
21915,RED  HARMONICA IN BOX,20945,23756.43,561,349,1.1342291716400095,37.33511586452763
85099C,JUMBO  BAG BAROQUE BLACK WHITE,12771,23630.58,649,306,1.8503312191684287,19.677966101694917
48138,DOORMAT UNION FLAG,3614,23622.54,516,313,6.5363973436635305,7.003875968992248
22112,CHOCOLATE HOT WATER BOTTLE,5152,23584.64,700,382,4.577763975155279,7.36
22197,POPCORN HOLDER,30919,23417.51,632,295,0.7573825156052912,48.92246835443038
23173,REGENCY TEAPOT ROSES,2662,23033.52,354,248,8.652712246431255,7.519774011299435
22138,BAKING SET 9 PIECE RETROSPOT,4786,22953.100000000002,854,581,4.795883827831175,5.604215456674473
48187,DOORMAT NEW ENGLAND,3698,22783.8,531,314,6.161114115738236,6.96421845574388
22189,CREAM HEART CARD HOLDER,8188,22687.920000000002,452,274,2.770874450415242,18.115044247787612
21623,VINTAGE UNION JACK MEMOBOARD,3252,22679.28,205,139,6.973948339483394,15.863414634146341
21733,RED HANGING HEART T-LIGHT HOLDER,7749,22595.190000000002,679,385,2.9158846302748747,11.412371134020619
23243,SET OF TEA COFFEE SUGAR TINS PANTRY,4658,22109.08,385,275,4.7464748819235725,12.098701298701299
22326,ROUND SNACK BOXES SET OF4 WOODLAND,8075,22101.77,595,281,2.7370613003095974,13.571428571428571
